,FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
193,Engine 264/Engine 328/Ladder 134,16-15 Central Avenue,Queens,11691.0,40.604896999999994,-73.75222600000001,14.0,31.0,103202.0,4529057.0,4155590025.0,Far Rockaway-Bayswater                                                     
194,Engine 265/Ladder 121/Battalion 47 EMS Station 47,48-06 Rockaway Beach Boulevard,Queens,11691.0,40.593377000000004,-73.77897800000001,14.0,31.0,97204.0,4539800.0,4158400001.0,Hammels-Arverne-Edgemere                                                   
195,Engine 266/Battalion 47,92-20 Rockaway Beach Boulevard,Queens,11693.0,40.58633,-73.815775,14.0,32.0,94202.0,4439014.0,4161270001.0,Hammels-Arverne-Edgemere                                                   
196,Engine 268/Ladder 137,257 Beach 116th Street,Queens,11694.0,40.580627,-73.837683,14.0,32.0,93402.0,4304442.0,4162120017.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
197,Engine 329,402 Beach 169th Street,Queens,11695.0,40.566034,-73.881874,84.0,32.0,918.0,4307098.0,4163250001.0,park-cemetery-etc-Queens                                                   
198,Marine 9,Saint George Ferry Terminal,Staten Island,10301.0,40.644112,-74.072559,1.0,49.0,3.0,5000000.0,5000020001.0,West New Brighton-New Brighton-St. George                                  
199,Engine 155/Ladder 78,14 Brighton Avenue,Staten Island,10301.0,40.637734,-74.087746,1.0,49.0,77.0,5002472.0,5001030020.0,West New Brighton-New Brighton-St. George                                  
200,Ladder 79/Battalion 22,1189 Castleton Avenue,Staten Island,10310.0,40.63415,-74.122199,1.0,49.0,13302.0,5005308.0,5001980136.0,West New Brighton-New Brighton-St. George                                  
201,Engine 156,412 Broadway,Staten Island,10310.0,40.631093,-74.116574,1.0,49.0,125.0,5005815.0,5002170050.0,West New Brighton-New Brighton-St. George                                  
202,Engine 163/Ladder 83,875 Jewett Avenue,Staten Island,10314.0,40.615251,-74.130971,1.0,50.0,151.0,5010816.0,5003770018.0,Westerleigh                                                                
203,Engine 153/Ladder 77,74 Broad Street,Staten Island,10304.0,40.625167,-74.077772,1.0,49.0,27.0,5013836.0,5005290009.0,Stapleton-Rosebank                                                         
